name,county,abbreviation,state,state_code,zip_codes
Adak,Aleutians West Census Area,AK,Alaska,2,99546
Akhiok,Kodiak Island Borough,AK,Alaska,2,99615
Akiachak,Bethel Census Area,AK,Alaska,2,99551
Akiak,Bethel Census Area,AK,Alaska,2,99552
Akutan,Aleutians East Borough,AK,Alaska,2,99553
Alakanuk,Kusilvak Census Area,AK,Alaska,2,99554
Alatna,Yukon-Koyukuk Census Area,AK,Alaska,2,99720
Alcan Border,Southeast Fairbanks Census Area,AK,Alaska,2,99764
Aleknagik,Dillingham Census Area,AK,Alaska,2,99555 99576
Aleneva,Kodiak Island Borough,AK,Alaska,2,99615
Allakaket,Yukon-Koyukuk Census Area,AK,Alaska,2,99720
Ambler,Northwest Arctic Borough,AK,Alaska,2,99786
Anaktuvuk Pass,North Slope Borough,AK,Alaska,2,99721
Anchorage,Anchorage Municipality,AK,Alaska,2,99501 99502 99503 99504 99505 99506 99507 99508 99509 99510 99511 99514 99515 99516 99517 99518 99519 99520 99521 99522 99523 99524 99540 99567 99577 99587 99645 99686
Anchor Point,Kenai Peninsula Borough,AK,Alaska,2,99556 99603
Anderson,Denali Borough,AK,Alaska,2,99704 99743 99744 99760
Angoon,Hoonah-Angoon Census Area,AK,Alaska,2,99820
Aniak,Bethel Census Area,AK,Alaska,2,99557
Anvik,Yukon-Koyukuk Census Area,AK,Alaska,2,99558
Arctic Village,Yukon-Koyukuk Census Area,AK,Alaska,2,99722 99740 99781
Atka,Aleutians West Census Area,AK,Alaska,2,99547
Atmautluak,Bethel Census Area,AK,Alaska,2,99559
Atqasuk,North Slope Borough,AK,Alaska,2,99791
Attu Station,Aleutians West Census Area,AK,Alaska,2,96950
Badger,Fairbanks North Star Borough,AK,Alaska,2,99705 99712
Barrow,North Slope Borough,AK,Alaska,2,99723
Bear Creek,Kenai Peninsula Borough,AK,Alaska,2,99664
Beaver,Yukon-Koyukuk Census Area,AK,Alaska,2,99724
Beluga,Kenai Peninsula Borough,AK,Alaska,2,99682
Bethel,Bethel Census Area,AK,Alaska,2,99545 99559
Bettles,Yukon-Koyukuk Census Area,AK,Alaska,2,99726
Big Delta,Southeast Fairbanks Census Area,AK,Alaska,2,99737
Big Lake,Matanuska-Susitna Borough,AK,Alaska,2,99652 99654
Birch Creek,Yukon-Koyukuk Census Area,AK,Alaska,2,99730
Brevig Mission,Nome Census Area,AK,Alaska,2,99785
Buckland,Northwest Arctic Borough,AK,Alaska,2,99727
Buffalo Soapstone,Matanuska-Susitna Borough,AK,Alaska,2,99645
Butte,Matanuska-Susitna Borough,AK,Alaska,2,99645
Cantwell,Denali Borough,AK,Alaska,2,99729 99743 99755
Central,Yukon-Koyukuk Census Area,AK,Alaska,2,99730
Chalkyitsik,Yukon-Koyukuk Census Area,AK,Alaska,2,99740 99788
Chase,Matanuska-Susitna Borough,AK,Alaska,2,99676
Chefornak,Bethel Census Area,AK,Alaska,2,99561
Chena Ridge,Fairbanks North Star Borough,AK,Alaska,2,99709
Chenega,Valdez-Cordova Census Area,AK,Alaska,2,99574
Chevak,Kusilvak Census Area,AK,Alaska,2,99563
Chickaloon,Matanuska-Susitna Borough,AK,Alaska,2,99674
Chicken,Southeast Fairbanks Census Area,AK,Alaska,2,99732
Chignik,Lake and Peninsula Borough,AK,Alaska,2,99564
Chignik Lagoon,Lake and Peninsula Borough,AK,Alaska,2,99565
Chignik Lake,Lake and Peninsula Borough,AK,Alaska,2,99548
Chiniak,Kodiak Island Borough,AK,Alaska,2,99615
Chisana,Valdez-Cordova Census Area,AK,Alaska,2,99566
Chistochina,Valdez-Cordova Census Area,AK,Alaska,2,99586
Chitina,Valdez-Cordova Census Area,AK,Alaska,2,99566
Chuathbaluk,Bethel Census Area,AK,Alaska,2,99557
Circle,Yukon-Koyukuk Census Area,AK,Alaska,2,99733
Clam Gulch,Kenai Peninsula Borough,AK,Alaska,2,99568
Clark's Point,Dillingham Census Area,AK,Alaska,2,99569
Coffman Cove,Prince of Wales-Hyder Census Area,AK,Alaska,2,99918
Cohoe,Kenai Peninsula Borough,AK,Alaska,2,99568 99610 99669
Cold Bay,Aleutians East Borough,AK,Alaska,2,99571
